I2M2;v1.0.6;2023-04-26;Temps d'execution :;10.35secs
CODE_OPERATION;CODE_STATION;DATE;CODE_PAR;LIB_PAR;RESULTAT;COMMENTAIRE
0416522520/07/2022;04165225;20/07/2022;8050;NbTaxonsI2M2Contributifs;42;Les taxons suivants, representant 2% des taxons du prelevement, n'ont pas ete pris en compte dans le calcul : 50011.
0416680020/07/2022;04166800;20/07/2022;8058;IndiceShannonI2M2;0.865;
0416680020/07/2022;04166800;20/07/2022;8057;AverageScorePerTaxonI2M2;0.3721;
0416680020/07/2022;04166800;20/07/2022;8056;PolyvoltinismeI2M2;0.3411;
0416680020/07/2022;04166800;20/07/2022;8055;OvovivipariteI2M2;0.5291;
0416680020/07/2022;04166800;20/07/2022;8054;RichesseI2M2;0.6327;
0416680020/07/2022;04166800;20/07/2022;7613;Ind Invert Multimetrique;0.5259;
0416680020/07/2022;04166800;20/07/2022;8050;NbTaxonsI2M2Contributifs;53;Les taxons suivants, representant 4% des taxons du prelevement, n'ont pas ete pris en compte dans le calcul : 50011, 3127.
0416775031/05/2022;04167750;31/05/2022;8058;IndiceShannonI2M2;0.2287;
0416775031/05/2022;04167750;31/05/2022;8057;AverageScorePerTaxonI2M2;0.44;
0416775031/05/2022;04167750;31/05/2022;8056;PolyvoltinismeI2M2;0;
0416775031/05/2022;04167750;31/05/2022;8055;OvovivipariteI2M2;0;
0416775031/05/2022;04167750;31/05/2022;8054;RichesseI2M2;0.1837;
0416775031/05/2022;04167750;31/05/2022;7613;Ind Invert Multimetrique;0.165;
0416775031/05/2022;04167750;31/05/2022;8050;NbTaxonsI2M2Contributifs;31;Les taxons suivants, representant 6% des taxons du prelevement, n'ont pas ete pris en compte dans le calcul : 50011, 3170.
0416781531/05/2022;04167815;31/05/2022;8058;IndiceShannonI2M2;0.793;
0416781531/05/2022;04167815;31/05/2022;8057;AverageScorePerTaxonI2M2;0.7946;
0416781531/05/2022;04167815;31/05/2022;8056;PolyvoltinismeI2M2;0.5537;
0416781531/05/2022;04167815;31/05/2022;8055;OvovivipariteI2M2;0.3673;
0416781531/05/2022;04167815;31/05/2022;8054;RichesseI2M2;0.551;
0416781531/05/2022;04167815;31/05/2022;7613;Ind Invert Multimetrique;0.6051;
0416781531/05/2022;04167815;31/05/2022;8050;NbTaxonsI2M2Contributifs;50;Les taxons suivants, representant 4% des taxons du prelevement, n'ont pas ete pris en compte dans le calcul : 50011, 3206.
0416814012/09/2022;04168140;12/09/2022;8058;IndiceShannonI2M2;0.6573;
0416814012/09/2022;04168140;12/09/2022;8057;AverageScorePerTaxonI2M2;0.5842;
0416814012/09/2022;04168140;12/09/2022;8056;PolyvoltinismeI2M2;0.269;
