CODE_OPERATION	CODE_STATION	LB_STATION	CODE_POINT	DATE	CODE_PRODUCTEUR	NOM_PRODUCTEUR	CODE_PRELEVEUR	NOM_PRELEVEUR	CODE_DETERMINATEUR	NOM_DETERMINATEUR	COORD_X_OP	COORD_Y_OP	COORD_X_OP_AVAL	COORD_Y_OP_AVAL	TYPO_NATIONALE	CODE_PHASE	CODE_PREL_ELEM	CODE_TAXON	NOM_LATIN_TAXON	RESULTAT	CODE_REMARQUE
MINV01	04171160	CORZIC A PLOUHA		19/05/2022	18450301900012	AGENCE DE L'EAU LOIRE-BRETAGNE	13001000200017	DREAL BRETAGNE	13001000200017	DREAL BRETAGNE	266546.87	6858085.6200000001	266570.31	6858033.7000000002	TP12-B	A		363	Baetidae	2.0	1
MINV01	04171160	CORZIC A PLOUHA		19/05/2022	18450301900012	AGENCE DE L'EAU LOIRE-BRETAGNE	13001000200017	DREAL BRETAGNE	13001000200017	DREAL BRETAGNE	266546.87	6858085.6200000001	266570.31	6858033.7000000002	TP12-B	B		363	Baetidae	0.0	1
MINV01	04171160	CORZIC A PLOUHA		19/05/2022	18450301900012	AGENCE DE L'EAU LOIRE-BRETAGNE	13001000200017	DREAL BRETAGNE	13001000200017	DREAL BRETAGNE	266546.87	6858085.6200000001	266570.31	6858033.7000000002	TP12-B	C		363	Baetidae	0.0	1
MINV01	04171160	CORZIC A PLOUHA		19/05/2022	18450301900012	AGENCE DE L'EAU LOIRE-BRETAGNE	13001000200017	DREAL BRETAGNE	13001000200017	DREAL BRETAGNE	266546.87	6858085.6200000001	266570.31	6858033.7000000002	TP12-B	A		364	Baetis	58.0	1
MINV01	04171160	CORZIC A PLOUHA		19/05/2022	18450301900012	AGENCE DE L'EAU LOIRE-BRETAGNE	13001000200017	DREAL BRETAGNE	13001000200017	DREAL BRETAGNE	266546.87	6858085.6200000001	266570.31	6858033.7000000002	TP12-B	B		364	Baetis	174.0	1
MINV01	04171160	CORZIC A PLOUHA		19/05/2022	18450301900012	AGENCE DE L'EAU LOIRE-BRETAGNE	13001000200017	DREAL BRETAGNE	13001000200017	DREAL BRETAGNE	266546.87	6858085.6200000001	266570.31	6858033.7000000002	TP12-B	C		364	Baetis	352.0	1
MINV01	04171160	CORZIC A PLOUHA		19/05/2022	18450301900012	AGENCE DE L'EAU LOIRE-BRETAGNE	13001000200017	DREAL BRETAGNE	13001000200017	DREAL BRETAGNE	266546.87	6858085.6200000001	266570.31	6858033.7000000002	TP12-B	A		451	Ephemerella ignita	133.0	1
MINV01	04171160	CORZIC A PLOUHA		19/05/2022	18450301900012	AGENCE DE L'EAU LOIRE-BRETAGNE	13001000200017	DREAL BRETAGNE	13001000200017	DREAL BRETAGNE	266546.87	6858085.6200000001	266570.31	6858033.7000000002	TP12-B	B		451	Ephemerella ignita	23.0	1
MINV01	04171160	CORZIC A PLOUHA		19/05/2022	18450301900012	AGENCE DE L'EAU LOIRE-BRETAGNE	13001000200017	DREAL BRETAGNE	13001000200017	DREAL BRETAGNE	266546.87	6858085.6200000001	266570.31	6858033.7000000002	TP12-B	C		451	Ephemerella ignita	50.0	1
MINV01	04171160	CORZIC A PLOUHA		19/05/2022	18450301900012	AGENCE DE L'EAU LOIRE-BRETAGNE	13001000200017	DREAL BRETAGNE	13001000200017	DREAL BRETAGNE	266546.87	6858085.6200000001	266570.31	6858033.7000000002	TP12-B	A		502	Ephemera	0.0	1
MINV01	04171160	CORZIC A PLOUHA		19/05/2022	18450301900012	AGENCE DE L'EAU LOIRE-BRETAGNE	13001000200017	DREAL BRETAGNE	13001000200017	DREAL BRETAGNE	266546.87	6858085.6200000001	266570.31	6858033.7000000002	TP12-B	B		502	Ephemera	1.0	1
